상품ID,브랜드,순위,분류,상품명,할인율,할인가,총용량(g),단위가격(100g),리뷰수,평균별점,긍정리뷰비율,부정리뷰비율,품질언급비율,가성비언급비율,배송언급비율,저평점비율,최근 30일 리뷰비율,품질(긍정),품질(부정),구성/가성비(긍정),구성/가성비(부정),배송(긍정),배송(부정)
12275331634,KF365,156,가공육,[KF365] 1+ 한우 등심 큐브스테이크 300g(냉장),25,38960,300,311680,9,4.89,1.0,0.0,0.75,0.62,0.5,0.0,0.12,맛있음,키워드 없음,1인분,키워드 없음,배송,키워드 없음
12275365826,KF365,159,정육,[KF365] 1+ 한우 등심 대용량 1kg (냉장),23,123600,900,302133,8,4.5,0.71,0.29,1.0,0.71,0.86,0.0,0.0,맛,기름많음,가성비,가성비별로,배송,배송
13109291797,KF365,160,가공육,[KF365] IQF 닭볶음탕용  (냉동) 1kg,0,8490,1000,849,12,4.83,0.75,0.25,0.88,0.38,0.5,0.0,0.25,맛,맛,가성비,보기좋음,배송,배송
12275423961,KF365,161,정육,[KF365] 1+ 한우 등심 스테이크 대용량 1kg(냉장),23,127400,1000,280280,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
12607298175,KF365,162,가공육,[KF365] 1+ 한우 양지 솥밥용 200g (냉장),24,14611,200,168026,7,4.43,0.71,0.29,1.0,0.57,0.57,0.14,0.14,맛있음,식감,가성비,용도,배송,키워드 없음
12274601072,KF365,163,정육,[KF365] IQF 닭안심살 (냉동) 2kg,0,19900,2000,995,236,4.92,0.91,0.09,0.96,0.62,0.54,0.01,0.17,맛,맛,가성비,가성비,배송,배송
12274592602,KF365,164,가공육,[KF365] 구워나온 한돈 떡갈비 (1입/4입),14,2900,125,30160,49,4.65,0.85,0.15,0.92,0.52,0.38,0.04,0.21,맛,맛,가성비,냉동보관,배송,배송
12570679090,KF365,165,달걀,[KF365] 무항생제 1+등급 중란 20구,0,6690,20,33450,24,4.67,0.83,0.17,0.88,0.42,0.75,0.0,0.12,신선함,계란깨짐,크기,키워드 없음,배송,배송
12274636509,KF365,1,수산,[KF365] 항공직송 노르웨이 생연어 6종 (냉장) (택1),23,15300,200,7650,3845,4.84,0.7,0.3,0.96,0.54,0.51,0.09,0.07,맛,맛없음,가성비,가격,배송,배송
12274670046,KF365,2,수산,[KF365] 명인 명란 2종 (택1),11,6900,100,69000,2496,4.84,0.79,0.21,0.94,0.46,0.42,0.04,0.1,맛있음,맛,가성비,유통기한,배송,배송
12274471755,KF365,3,건어물,[KF365] 고소한 파래도시락김 16봉,16,4900,4,1837500,2334,4.85,0.79,0.21,0.94,0.5,0.4,0.06,0.04,맛있음,맛,가성비,가격,배송,배송
12274576641,KF365,4,수산,[KF365] 국산 손질오징어 300g (냉장),20,14250,300,4750,454,4.83,0.91,0.09,0.98,0.53,0.5,0.01,0.12,신선함,맛,가성비,포장,배송,배송
12274564857,KF365,5,해산,[KF365] 간편한 6가지 해물 모듬,22,8490,600,29715,1448,4.83,0.735356201,0.25408971,0.933166227,0.482453826,0.468522427,0.0758047493,0.116754617,,,,,,
12274563859,KF365,7,해산,[KF365] 국산 손질 꽃게 2종 (냉동),26,10900,500,2180,873,4.82,0.735356201,0.25408971,0.933166227,0.482453826,0.468522427,0.0758047493,0.116754617,,,,,,
12274688566,KF365,8,수산,[KF365] 완도 전복 5종 (생물) (택1),39,9490,260,3650,523,4.83,0.85,0.15,0.96,0.59,0.58,0.0,0.09,신선함,신선도,가성비,크기,배송,배송
12346832741,KF365,9,건어물,[KF365] 간편한 손질 오징어채 300g (냉동),17,8200,300,43733,765,4.78,0.77,0.23,0.95,0.47,0.42,0.05,0.14,맛,맛,가성비,가성비,배송,배송
12274603345,KF365,10,해산,[KF365] 백합조개 500g (생물),24,5190,500,23874,485,4.77,0.81,0.19,0.97,0.52,0.51,0.04,0.11,신선함,맛,가성비,가격,배송,배송
12274633144,KF365,11,건어물,[KF365] 곱창 캔김 4종 (택1),22,4590,30,321300,819,4.83,0.79,0.21,0.96,0.52,0.39,0.01,0.15,맛있음,맛,가성비,가성비,배송,배송
12274542518,KF365,13,건어물,[KF365] 기장 미역 80g,10,5300,80,59625,481,4.85,0.8,0.2,0.92,0.36,0.34,0.0,0.19,맛있음,맛,가성비,가성비,배송,배송
12274711112,KF365,14,수산,[KF365] 국산 손질 고등어 3종 (냉동) (택1),19,8500,130,117692,1061,4.77,0.77,0.23,0.96,0.46,0.43,0.05,0.06,맛있음,맛,가성비,가성비,배송,배송
12273077467,KF365,15,수산,[KF365] 제주토막갈치 3종 (냉동) (택1),11,14900,300,4967,270,4.79,0.88,0.12,0.95,0.53,0.51,0.01,0.16,맛있음,맛,가성비,가성비,배송,배송
12443229177,KF365,16,수산,[KF365] 냉동 손질 오징어 4종 (택1),17,8200,300,2733,674,4.83,0.86,0.14,0.96,0.5,0.4,0.02,0.07,맛있음,맛,가성비,가성비,배송,배송
12335533668,KF365,17,해산,[KF365] 참바지락 2종 (생물) (택1),23,4990,500,21956,405,4.84,0.83,0.17,0.94,0.46,0.53,0.02,0.13,신선함,맛,가성비,가격대비별로,배송,배송
12274538840,KF365,19,수산,[KF365] 두툼한 국산 손질오징어 600g (냉동),13,19900,600,39800,116,4.91,1.0,0.0,1.0,0.0,0.0,0.0,0.0,크기,키워드 없음,키워드 없음,키워드 없음,키워드 없음,키워드 없음
12552492077,KF365,20,수산,"[KF365] 완도 전복 2마리 250g (특대, 생물)",30,13900,250,161240,79,4.76,0.4,0.6,0.8,0.2,0.2,0.0,0.0,맛있음,상품상태,사이즈작음,키워드 없음,키워드 없음,배송
12274471831,KF365,23,건어물,[KF365] 고소한 재래도시락김 16봉,16,4900,4,1837500,489,4.84,0.92,0.08,0.93,0.51,0.46,0.0,0.11,맛있음,가성비,가성비,가성비,배송,배송
12606418309,KF365,24,수산,[KF365] 노르웨이 생연어회&스테이크 (냉장) (택1),23,15300,200,168300,862,4.87,0.94,0.06,0.99,0.55,0.46,0.0,0.13,맛있음,맛,가성비,두께,배송,배송
12274538844,KF365,26,건어물,[KF365] 두툼한 국산 오징어채 600g (냉동),10,17900,600,26850,128,4.8,0.83,0.17,0.9,0.5,0.4,0.01,0.12,맛,맛,가성비,가성비,배송,배송
12274576661,KF365,29,수산,[KF365] 원양산 손질오징어 320g (냉장),20,11890,320,70597,191,4.82,0.92,0.08,0.93,0.42,0.41,0.02,0.1,신선함,가격,가성비,구성,배송,배송
12443230576,KF365,30,수산,[KF365] 냉장 손질 오징어 2종 (택1),20,11890,300,3963,63,4.81,0.83,0.17,0.95,0.48,0.45,0.0,0.1,신선함,맛,가성비,가격,배송,배송
12274022618,KF365,31,수산,[KF365] 노르웨이 고등어 3종 (냉동) (택1),7,11900,150,7933,368,4.78,0.79,0.21,0.94,0.55,0.41,0.06,0.09,맛,크기,가성비,가격,배송,배송
12274086737,KF365,1,과일·채소,[KF365] 대추방울토마토 750g,32,7990,750,33025,10431,4.77,0.11,0.89,0.95,0.38,0.46,0.69,0.09,신선함,맛없음,가성비,가격,배송,배송
12924495223,KF365,2,과일·채소,[KF365] 실속 바나나 2종,4,4290,1000,429,3285,4.71,0.49,0.51,0.95,0.36,0.51,0.25,0.06,맛있음,맛,가성비,가성비,배송,배송
12273095475,KF365,3,과일·채소,[KF365] 아보카도 (1개),0,2990,190,1574,556,4.67,0.56,0.44,0.92,0.34,0.43,0.1,0.13,맛,맛,가성비,가성비,배송,배송
12285908922,KF365,4,견과,[KF365] 기본에 충실한 하루견과(20g*14봉),23,12900,280,101357,2101,4.79,0.71,0.29,0.95,0.56,0.46,0.07,0.12,맛,맛,가성비,가성비,배송,배송
